Категория,Подкатегория,Линия,Модель,Артикул,Наименование
Маркерные доски,Маркерные доски,COLOR," COLOR
120*240","C-120-240-
C-120240-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

 COLOR
120*240"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
60*90","D-60-90-
D-6090-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
60*90"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
90*120","D-90-120-
D-90120-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
90*120"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
100*150","D-100-150-
D-100150-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
100*150"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
100*200","D-100-200-
D-100200-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
100*200"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
120*180","D-120-180-
D-120180-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
120*180"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
120*200","D-120-200-
D-120200-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
120*200"
Маркерные доски,Маркерные доски,DESIGN,"DESIGN
120*240","D-120-240-
D-120240-","Стеклянная магнитно-маркерная доска прямоугольная/ с закругленными углами,

DESIGN
120*240"
Комплектующие,Подстолье,TRUBIS,TRUBIS S 400,"GGTP-03-1-S
GGTP-03-2-S
GGTP-03-3-S","Подстолье металлическое круглое (журнальное)

TRUBIS S 400"
Комплектующие,Подстолье,TRUBIS,TRUBIS M 600,"GGTP-03-1-M
GGTP-03-2-M
GGTP-03-3-M","Подстолье металлическое круглое (журнальное)

TRUBIS M 600"
Комплектующие,Подстолье,TRUBIS,TRUBIS L 400,"GGTP-03-1-L
GGTP-03-2-L
GGTP-03-3-L","Подстолье металлическое круглое

TRUBIS L 400"
Комплектующие,Подстолье,TRUBIS,"TRUBIS E 500*300
","GGTP-03-1-E
GGTP-03-2-E
GGTP-03-3-E","Подстолье металлическое овальное

TRUBIS E 500*300
"
Комплектующие,Подстолье,TRUBIS,TRUBIS O 700*350,"GGTP-03-1-O
GGTP-03-2-O
GGTP-03-3-O","Подстолье металлическое овальное

TRUBIS O 700*350"
Комплектующие,Подстолье,TRUBIS,"TRUBIS R 500*300

","GGTP-03-1-R-500
GGTP-03-2-R-500
GGTP-03-3-R-500","Подстолье металлическое прямоугольное

TRUBIS R 500*300

"
Комплектующие,Подстолье,TRUBIS,TRUBIS 800*400,"GGTP-03-1-R
GGTP-03-2-R
GGTP-03-3-R","Подстолье металлическое прямоугольное

TRUBIS 800*400"
Комплектующие,Подстолье,TRUBIS,TRUBIS 400*400,"GGTP-03-1-SQ
GGTP-03-2-SQ
GGTP-03-3-SQ","Подстолье металлическое квадратное

TRUBIS 400*400"
Комплектующие,Подстолье,TRUBIS,TRUBIS C 350*350,"GGTP-03-1-C
GGTP-03-2-C
GGTP-03-3-C","Подстолье металлическое в форме клевера

TRUBIS C 350*350"
Комплектующие,Подстолье, VIOLUR, VIOLUR,"GGTP-20-1
GGTP-20-2
GGTP-20-3
GGTP-20-1x2
GGTP-20-2x2
GGTP-20-3x2","Металлическая ножка полумесяц

 VIOLUR"
Комплектующие,Подстолье, ARFEO, ARFEO,"GGKP-02-1
GGKP-02-2
GGKP-02-3","Металлическое подстолье  U-образное

 ARFEO"
Комплектующие,Подстолье,TRUBIS,TRUBIS 370*180,"GGKP-06-1
GGKP-06-2
GGKP-06-3","Подстолье металлическое овальное

TRUBIS 370*180"
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D400,"GGTW-01-d40
GGTW-02-d40
GGTW-03-d40
GGTW-04-d40
GGTW-05-d40",Столешница ЛДСП 16мм D400
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D600,"GGTW-01-d60
GGTW-02-d60
GGTW-03-d60
GGTW-04-d60
GGTW-05-d60",Столешница ЛДСП 16мм D600
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D800,"GGTW-01-d80
GGTW-02-d80
GGTW-03-d80
GGTW-04-d80
GGTW-05-d80",Столешница ЛДСП 16мм D800
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D900,"GGTW-01-d90
GGTW-02-d90
GGTW-03-d90
GGTW-04-d90
GGTW-05-d90",Столешница ЛДСП 16мм D900
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D1000,"GGTW-01-d100
GGTW-02-d100
GGTW-03-d100
GGTW-04-d100
GGTW-05-d100",Столешница ЛДСП 16мм D1000
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D1100,"GGTW-01-d110
GGTW-02-d110
GGTW-03-d110
GGTW-04-d110
GGTW-05-d110",Столешница ЛДСП 16мм D1100
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм D1200,"GGTW-01-d120
GGTW-02-d120
GGTW-03-d120
GGTW-04-d120
GGTW-05-d120",Столешница ЛДСП 16мм D1200
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм 1200*800,"GGTW-01-12080
GGTW-02-12080
GGTW-03-12080
GGTW-04-12080
GGTW-05-12080",Столешница ЛДСП 16мм 1200*800
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 16мм 1400*800,"GGTW-01-14080
GGTW-02-14080
GGTW-03-14080
GGTW-04-14080
GGTW-05-14080",Столешница ЛДСП 16мм 1400*800
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 25мм 1600*800,"GGTW-01-16080
GGTW-02-16080
GGTW-03-16080
GGTW-04-16080
GGTW-05-16080",Столешница ЛДСП 25мм 1600*800
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 25мм 1800*900,"GGTW-01-18090
GGTW-02-18090
GGTW-03-18090
GGTW-04-18090
GGTW-05-18090",Столешница ЛДСП 25мм 1800*900
Комплектующие,Столешницы,Столешницы,Столешница ЛДСП 25мм 2000*900,"GGTW-01-20090
GGTW-02-20090
GGTW-03-20090
GGTW-04-20090
GGTW-05-20090",Столешница ЛДСП 25мм 2000*900
